Maharashtra,Aurangabad,Epedimic,26
Tamil Nadu,Tiruppur,Epedimic,6
Jharkhand,Mango,Non Epedimic,0
Uttar Pradesh,Aligarh,Non Epedimic,0
Maharashtra,Satara,Non Epedimic,0
Maharashtra,Malegaon,Non Epedimic,0
Maharashtra,Ulhasnagar,Non Epedimic,0
Andhra Pradesh,Chittoor,Non Epedimic,0
Telangana,Nizamabad,Non Epedimic,0
Odisha,Sambalpur,Epedimic,40
Uttar Pradesh,Muzaffarnagar,Non Epedimic,0
Maharashtra,Pimpri-Chinchwad,Epedimic,40
Maharashtra,Ahmednagar,Non Epedimic,0
Maharashtra,Panvel,Non Epedimic,0
Maharashtra,Bhusawal,Non Epedimic,0
Delhi,Karawal Nagar,Non Epedimic,0
Andhra Pradesh,Dharmavaram,Non Epedimic,0
West Bengal,Bhatpara,Epedimic,80
pos,Chandigarh,Epedimic,26
Bihar,Muzaffarpur,Non Epedimic,0
Andhra Pradesh,Kadapa,Non Epedimic,0
Madhya Pradesh,Ratlam,Non Epedimic,0
Haryana,Sirsa,Non Epedimic,0
Haryana,Faridabad,Non Epedimic,0
Madhya Pradesh,Dewas,Non Epedimic,0
Bihar,Begusarai,Epedimic,33
Karnataka,Bellary,Non Epedimic,0
Andhra Pradesh,Tenali,Epedimic,46
Bihar,Bihar Sharif,Epedimic,100
Jammu and Kashmir,Jammu,Non Epedimic,0
Maharashtra,Solapur,Epedimic,60
Haryana,Bhiwani,Epedimic,53
Andhra Pradesh,Adoni,Non Epedimic,0
Maharashtra,Sangli-Miraj & Kupwad,Non Epedimic,0
Uttar Pradesh,Loni,Non Epedimic,0
Bihar,Motihari,Non Epedimic,0
Mizoram,Aizawl,Epedimic,53
Karnataka,Mangalore,Non Epedimic,0
Andhra Pradesh,Narasaraopet,Non Epedimic,0
Bihar,Purnia,Epedimic,6
Uttarakhand,Dehradun,Epedimic,66
Punjab,Jalandhar,Non Epedimic,0
Odisha,Raurkela Industrial Township,Non Epedimic,0
Madhya Pradesh,Katni,Epedimic,13
Tamil Nadu,Nagercoil,Epedimic,6
Maharashtra,Nagpur,Non Epedimic,0
Karnataka,Shimoga,Non Epedimic,0
Telangana,Mahaboobnagar,Non Epedimic,0
Tamil Nadu,Karaikudi,Epedimic,26
West Bengal,Naihati,Non Epedimic,0
Andhra Pradesh,Eluru,Non Epedimic,0
Uttar Pradesh,Jhansi,Epedimic,93
Madhya Pradesh,Bhind,Epedimic,33
Madhya Pradesh,Guna,Non Epedimic,0
Madhya Pradesh,Singrauli,Non Epedimic,0
Karnataka,Hospet,Non Epedimic,0
Odisha,Bhubaneswar,Epedimic,86
Haryana,Gurgaon,Non Epedimic,0
Jammu and Kashmir,Srinagar,Epedimic,6
Maharashtra,Ambarnath,Non Epedimic,0
Rajasthan,Udaipur,Non Epedimic,0
West Bengal,Maheshtala,Non Epedimic,0
Tamil Nadu,Tirunelveli,Epedimic,26
Bihar,Patna,Non Epedimic,0
Tripura,Agartala,Non Epedimic,0
Chhattisgarh,Raipur,Non Epedimic,0
Tamil Nadu,Kumbakonam,Epedimic,20
Haryana,Ambala,Epedimic,60
Delhi,Sultan Pur Majra,Non Epedimic,0
Uttarakhand,Haridwar,Non Epedimic,0
Uttar Pradesh,Etawah,Non Epedimic,0
Karnataka,HubliÃÂÃÂ¢ÃÂÃÂÃÂÃÂDharwad,Non Epedimic,0
Tamil Nadu,Tiruchirappalli,Epedimic,46
Andhra Pradesh,Tadipatri,Epedimic,13
Uttar Pradesh,Ghaziabad,Non Epedimic,0
Gujarat,Anand,Non Epedimic,0
Bihar,Bhagalpur,Non Epedimic,0
Rajasthan,Bikaner,Non Epedimic,0
Rajasthan,Alwar,Non Epedimic,0
Andhra Pradesh,Guntur,Non Epedimic,0
Delhi,Kirari Suleman Nagar,Epedimic,60
Madhya Pradesh,Morena,Epedimic,73
Gujarat,Gandhinagar,Non Epedimic,0
Uttar Pradesh,Farrukhabad,Epedimic,60
Maharashtra,Jalgaon,Non Epedimic,0
Andhra Pradesh,Hindupur,Non Epedimic,0
West Bengal,Barasat,Non Epedimic,0
Rajasthan,Bhilwara,Non Epedimic,0
Bihar,Munger,Epedimic,46
Kerala,Thiruvananthapuram,Non Epedimic,0
Jharkhand,Deoghar,Non Epedimic,0
West Bengal,Malda,Non Epedimic,0
Kerala,Kozhikode,Non Epedimic,0
Uttar Pradesh,Unnao,Non Epedimic,0
Rajasthan,Jaipur,Non Epedimic,0
Rajasthan,Jodhpur,Epedimic,26
Rajasthan,Bharatpur,Epedimic,26
Andhra Pradesh,Ongole,Epedimic,46
Madhya Pradesh,Burhanpur,Non Epedimic,0
Bihar,Kishanganj,Non Epedimic,0
Maharashtra,Chandrapur,Non Epedimic,0
Uttar Pradesh,Ballia,Non Epedimic,0
Kerala,Thrissur,Epedimic,66
Telangana,Suryapet,Non Epedimic,0
Andhra Pradesh,Vijayawada,Non Epedimic,0
Uttar Pradesh,Orai,Epedimic,13
Andhra Pradesh,Kakinada,Epedimic,26
Kerala,Kollam,Epedimic,53
West Bengal,Bidhannagar,Non Epedimic,0
West Bengal,Asansol,Epedimic,6
Uttar Pradesh,Hapur,Non Epedimic,0
West Bengal,Howrah,Non Epedimic,0
Maharashtra,Akola,Non Epedimic,0
Maharashtra,Nanded,Non Epedimic,0
Madhya Pradesh,Gwalior,Epedimic,26
Maharashtra,Kolhapur,Non Epedimic,0
Bihar,Jamalpur,Epedimic,13
Haryana,Karnal,Non Epedimic,0
Andhra Pradesh,Tadepalligudem,Epedimic,46
Uttar Pradesh,Sambhal,Non Epedimic,0
Assam,Guwahati,Non Epedimic,0
Rajasthan,Sri Ganganagar,Non Epedimic,0
Uttar Pradesh,Rampur,Non Epedimic,0
Karnataka,Belgaum,Epedimic,6
Haryana,Rohtak,Non Epedimic,0
West Bengal,Baranagar,Non Epedimic,0
Maharashtra,Pune,Non Epedimic,0
Karnataka,Tumkur,Epedimic,53
Karnataka,Mysore,Non Epedimic,0
Haryana,Yamunanagar,Non Epedimic,0
Uttar Pradesh,Shahjahanpur,Non Epedimic,0
Delhi,Delhi,Non Epedimic,0
West Bengal,Bardhaman,Non Epedimic,0
Uttar Pradesh,Fatehpur,Epedimic,6
Tamil Nadu,Thoothukudi,Non Epedimic,0
Tamil Nadu,Dindigul,Non Epedimic,0
Andhra Pradesh,Gudivada,Non Epedimic,0
Telangana,Ramagundam,Non Epedimic,0
Maharashtra,Jalna,Epedimic,33
Andhra Pradesh,Kavali,Non Epedimic,0
Madhya Pradesh,Jabalpur,Epedimic,20
West Bengal,Rajpur Sonarpur,Epedimic,60
Andhra Pradesh,Visakhapatnam,Non Epedimic,0
Telangana,Hyderabad,Epedimic,40
Uttar Pradesh,Agra,Non Epedimic,0
Madhya Pradesh,Bhopal,Non Epedimic,0
Andhra Pradesh,Srikakulam,Non Epedimic,0
Andhra Pradesh,Nellore,Epedimic,33
Madhya Pradesh,Satna,Epedimic,6
Gujarat,Gandhidham,Non Epedimic,0
Uttar Pradesh,Bahraich,Non Epedimic,0
Gujarat,Jamnagar,Non Epedimic,0
Uttar Pradesh,Bulandshahr,Non Epedimic,0
Karnataka,Bangalore ,Non Epedimic,0
Manipur,Imphal,Epedimic,26
Uttar Pradesh,Noida,Non Epedimic,0
West Bengal,Kolkata,Non Epedimic,0
Punjab,Ludhiana,Non Epedimic,0
Uttar Pradesh,Amroha,Non Epedimic,0
Karnataka,Raichur,Non Epedimic,0
Himachal Pradesh,Shimla,Epedimic,6
Andhra Pradesh,Nandyal,Epedimic,13
Maharashtra,Latur,Non Epedimic,0
West Bengal,Kulti,Epedimic,20
Uttar Pradesh,Mathura,Non Epedimic,0
Telangana,Karimnagar,Epedimic,6
Puducherry,Pondicherry,Epedimic,46
Tamil Nadu,Tiruvottiyur,Non Epedimic,0
Uttar Pradesh,Saharanpur,Epedimic,40
Maharashtra,Nashik,Non Epedimic,0
Gujarat,Surendranagar Dudhrej,Non Epedimic,0
Tamil Nadu,Coimbatore,Epedimic,33
Jharkhand,Dhanbad,Non Epedimic,0
West Bengal,Durgapur,Non Epedimic,0
West Bengal,Berhampore,Non Epedimic,0
Tamil Nadu,Thanjavur,Epedimic,13
Maharashtra,Amravati,Non Epedimic,0
Telangana,Khammam,Non Epedimic,0
Delhi,Nangloi Jat,Epedimic,66
Haryana,Panchkula,Non Epedimic,0
Telangana,Warangal,Non Epedimic,0
Bihar,Chapra,Epedimic,6
Uttar Pradesh,Bareilly,Epedimic,26
Chhattisgarh,Bilaspur,Non Epedimic,0
Rajasthan,Sikar,Epedimic,6
Tamil Nadu,Vellore,Epedimic,46
Rajasthan,Pali,Non Epedimic,0
Madhya Pradesh,Ujjain,Non Epedimic,0
Jharkhand,Bokaro,Epedimic,40
Maharashtra,Mumbai,Non Epedimic,0
Rajasthan,Kota,Non Epedimic,0
Uttar Pradesh,Jaunpur,Epedimic,20
Jharkhand,Ranchi,Non Epedimic,0
Madhya Pradesh,Khandwa,Epedimic,13
Gujarat,Mehsana,Non Epedimic,0
Uttar Pradesh,Mirzapur,Non Epedimic,0
Andhra Pradesh,Bhimavaram,Non Epedimic,0
Tamil Nadu,Erode,Non Epedimic,0
Gujarat,Morbi,Non Epedimic,0
West Bengal,Raiganj,Non Epedimic,0
Haryana,Sonipat,Non Epedimic,0
Maharashtra,Parbhani,Non Epedimic,0
Chhattisgarh,Durg,Non Epedimic,0
Madhya Pradesh,Shivpuri,Non Epedimic,0
West Bengal,Gopalpur,Non Epedimic,0
Madhya Pradesh,Sagar,Non Epedimic,0
Gujarat,Vadodara,Non Epedimic,0
Maharashtra,Thane,Non Epedimic,0
Bihar,Gaya,Non Epedimic,0
Tamil Nadu,Salem,Epedimic,60
Bihar,Hajipur,Epedimic,6
Andhra Pradesh,Rajahmundry,Non Epedimic,0
Puducherry,Ozhukarai,Non Epedimic,0
Punjab,Phagwara,Non Epedimic,0
Andhra Pradesh,Amaravati,Epedimic,26
Bihar,Buxar,Epedimic,26
West Bengal,Serampore,Non Epedimic,0
Tamil Nadu,Madurai,Non Epedimic,0
Bihar,Jehanabad,Non Epedimic,0
Chhattisgarh,Korba,Non Epedimic,0
Uttar Pradesh,Meerut,Non Epedimic,0
Maharashtra,Kalyan-Dombivli,Non Epedimic,0
Madhya Pradesh,Rewa,Non Epedimic,0
Gujarat,Ahmedabad,Non Epedimic,0
Bihar,Katihar,Non Epedimic,0
Maharashtra,Dhule,Epedimic,26
Odisha,Cuttack,Epedimic,46
Kerala,Kochi,Non Epedimic,0
Bihar,Arrah,Non Epedimic,0
Jharkhand,Jamshedpur,Non Epedimic,0
Haryana,Panipat,Non Epedimic,0
Odisha,Berhampur,Epedimic,20
Delhi,New Delhi,Epedimic,26
Karnataka,Davanagere,Non Epedimic,0
Tamil Nadu,Avadi,Epedimic,40
Madhya Pradesh,Indore,Non Epedimic,0
Maharashtra,Mira-Bhayandar,Non Epedimic,0
Maharashtra,Bhiwandi,Non Epedimic,0
West Bengal,Panihati,Epedimic,6
Telangana,Secunderabad,Non Epedimic,0
Gujarat,Nadiad,Non Epedimic,0
Uttar Pradesh,Kanpur,Non Epedimic,0
Karnataka,Gulbarga,Non Epedimic,0
Andhra Pradesh,Guntakal,Non Epedimic,0
Maharashtra,Ichalkaranji,Epedimic,13
Bihar,Bettiah,Epedimic,33
West Bengal,Siliguri,Non Epedimic,0
Karnataka,Udupi,Non Epedimic,0
Andhra Pradesh,Kurnool,Non Epedimic,0
Gujarat,Surat,Non Epedimic,0
Uttar Pradesh,Varanasi,Non Epedimic,0
West Bengal,Kamarhati,Non Epedimic,0
West Bengal,Haldia,Epedimic,26
Kerala,Kottayam,Epedimic,33
Tamil Nadu,Ambattur,Non Epedimic,0
Uttar Pradesh,Gorakhpur,Non Epedimic,0
Tamil Nadu,Pallavaram,Epedimic,20
West Bengal,Chinsurah,Epedimic,53
Punjab,Amritsar,Epedimic,6
West Bengal,Bally,Non Epedimic,0
Uttar Pradesh,Firozabad,Epedimic,66
Rajasthan,Ajmer,Epedimic,80
Andhra Pradesh,Machilipatnam,Non Epedimic,0
Bihar,Siwan,Non Epedimic,0
West Bengal,Uluberia,Epedimic,20
Chhattisgarh,Bhilai,Epedimic,60
Andhra Pradesh,Anantapur,Epedimic,26
West Bengal,South Dumdum,Epedimic,60
Karnataka,Bidar,Non Epedimic,0
Maharashtra,Navi Mumbai,Non Epedimic,0
West Bengal,Madhyamgram,Epedimic,46
Andhra Pradesh,Tirupati,Non Epedimic,0
West Bengal,Kharagpur,Non Epedimic,0
Bihar,Dehri,Non Epedimic,0
Uttar Pradesh,Allahabad,Non Epedimic,0
Andhra Pradesh,Vijayanagaram,Non Epedimic,0
Telangana,Miryalaguda,Non Epedimic,0
Bihar,Saharsa,Non Epedimic,0
Punjab,Patiala,Non Epedimic,0
Uttar Pradesh,Mau,Non Epedimic,0
Bihar,Danapur,Non Epedimic,0
Maharashtra,Vasai-Virar,Non Epedimic,0
Punjab,Bathinda,Non Epedimic,0
Andhra Pradesh,Madanapalle,Non Epedimic,0
Sikkim,Gangtok,Epedimic,6
Delhi,Bhalswa Jahangir Pur,Epedimic,46
Andhra Pradesh,Proddatur,Non Epedimic,0
Odisha,Rourkela,Non Epedimic,0
Uttar Pradesh,Lucknow,Epedimic,40
West Bengal,North Dumdum,Non Epedimic,0
Bihar,Darbhanga,Non Epedimic,0
Bihar,Sasaram,Epedimic,6
Tamil Nadu,Chennai,Non Epedimic,0
Gujarat,Junagadh,Non Epedimic,0
Gujarat,Rajkot,Non Epedimic,0
Uttar Pradesh,Raebareli,Non Epedimic,0
Kerala,Alappuzha,Non Epedimic,0
Karnataka,Bijapur,Non Epedimic,0
Gujarat,Bhavnagar,Non Epedimic,0
