 Name , Number
AGRAWAL HOSPITAL,253902/03
AKANSHA ORTHOPEDIC CENTRE,0744-2421369
ARORA HOSPITAL ,05644-224650/ 224667
ASHISH HOSPITAL,01432-243112
BAHL HOSPITAL ,154-2463280 / 2464280
BHANDARI CLINIC,291-2623966/ 2437504
BHARAT VIKAS PARISHAD HOSPITAL & RESEARCH CENTRE,744-2504501/ 03
BRIJESH BANGER MEMORIAL HOSPITAL,1482-297501
DAKSH HOSPITAL,144-2704060
DHAYAL HOSPIAL ,1575-225218
FORTISLIFELINE HOSPITAL ,0144-2730604
GBH AMERICAN HOSPITAL,2428701/04
GOPINATH HOSPITAL,1493-223543
GOYAL HOSPITAL ,0291-2432144/ 2434144
HARISH HOSPITAL,0144-2338888 / 2702126
INDU HOSPITAL, 01592-236882
J. K. HOSPITAL, 07433-222143
J.W.GLOBAL HOSPITALRESEARCH CENTRE, 02974-238347 /8/9
JAISWAL HOSPITAL & NEURO INSTITUTE, 0744-2423232|2433232|2410109
KAILASH HOSPITAL & HEART INSTITUTE, 01494-222222| 222444
KALPANA NURSING HOME , 0294-2527244/ 2523191
KALYAN HOSPITAL, 0144-2336813 | 2338881
KAMLA NAGAR HOSPITAL, 0291-2753466 / 2753477
KAMLA NURSING HOME, 0144-2705400-401
KOTA HEART INSTITUTE , 0744-3015000
KRISHNA HOSPITAL, 01482-228100
LIFE LINE HOSPITAL & TRAUMA CENTRE, 0144-2705000 - 05
M.J. HOSPITALS (P) LTD, 05644-223993
MAITRI HOSPITAL, 0744-2427359 / 2426684
MARBLE CITY HOSPITAL , 01463-250770
MEWAR HOSPITAL PRIVATE LIMITED,0294-2442006/2442007
MITTAL HOSPITAL & RESEARCH CENTRE, 0145-2603600
NEETAN HOSPITAL & CLINIC, 05644-225925
RAMA KRISHNA MULTISPECIALITY HOSPITAL, 0744-2433111
SOLANKI HOSPITAL,0144-2700400 | 2336000
SRI VINAYAK HOSPITAL , 01493-510124 / 222670
SUDHA HOSPITAL, 0744-3010002/3/4/ 3010010
TANTIA GENERAL HOSPITAL,154-2472724
TARINI CANCER HOSPITAL , 144-2881131/ 2881080
UPASANA JEEVAN RAKSHA HOSPITAL, 2964-234950
VAJAYANTI HOSPITAL &RESEARCH CENTRE, 0144-2331807
