 Name , Number
Police,100
Fire,101
Ambulance,102 | 202001
Natural Calamaties,03592-202371
Border Road Orgn. ,03592-203241| 202268
Civil Defense,03592-202922
Helicopter Service,03592-202634/202352
Army Helpline ,03592-202228
 ,03592-202228
Hospitals and Blood Banks,03592-202228
Gangtok Hospital,03592-202059/202944
Manipal Hospital,03592-232041/231938
Chief Medical Officer (EAST ),03592-235379
Blood Bank,03592-227619
MO/IC Rhenock PHC,03592-253896
MO/IC Rongli PHC,03592-255865
MO/IC Pakyong PHC,03592-578852
MO/IC Sang PHC,03592-236860
MO/IC Dikchu PHC,03592-245427
Chief Medical Officer (WEST ),03595-250634
Gyalzing Hospital,03595-250823
Sombaria PHC,03595-254248
Soreng PHC,03595-253273
Dentam PHC,03595-255311
Mangalbaria PHC,03595-252204
Namchi District Hospital ,03595-263741
Chief Medical Officer (SOUTH),03595-263830/263835
Jorethang PHC,03595-257233
MO/IC Namthang,03595-241260
MO/IC Temi,03595-261840
MO/IC Melli,03595-270245
MO/IC Yangyang,03595-243222
MO/IC Ravangla,03595-260612
