 Name , Number
YASHODHA HOSPITAL ,   040-45674567 ( 24*7 NUMBER ) BRAIN STROKE HELPLINE : 105910 
APOLLO HOSPITAL    ( PRIVATE - JUBILEE HILLS    HYDERABAD ) ,  040-23608050   EMERGENCY : 1066    NATIONAL : 1860-500-1066
SRUJANA HOSPITAL ( JAYARAM NAGAR QUTHBULLAPUR ROAD ), 9885720000 | 9966580972
Aware Gleneagles Global Hospital, 1800 123 111 11 |  EMERGENCY : LB NAGAR : 82972 22222 LAKDI-KA-PUL : 040-2324 4444
OSMANIA GENERAL HOSPITAL,040-23538846|040-24600146
 CARE HOSPITAL ( HI-TECH CITY ) , EMERGENCY : 1800-1088-108 040-61656565 APPOINTMENTS: 1800 108 3999
MEDICOVER HOSPITAL ,HI-TECH CITY :  040-49404940 SECRETARIAT : 040-49404940 WOMEN & CHILD HYDERABAD : 6707 6700 NIZAMABAD | TELANAGANA : 9346033224KARIMNAGAR | TELANGANA : 8782242222SANGAREDDY |TELANGANA : 9133326440
GANDHI HOSPITAL,040-27505566
GOVT CHEST HOSPITAL,040-23814421/22/23/24
GOVT ENT HOSPITAL,040-24740245/24742329​​​​
RED CROSS AMBULANCE,040-27667973
T.S.Centre for Emergency AMBULANCE,040-24603566
C.D.R.,040-23456789
