 Name , Number
Police,100 
Fire,101 
Ambulance,102
Women Helpline,1091
AIDS HELPLINE,1097
Child Helpline,1098
Railway Enquiry,139
Disaster ,1070
DISASTER ( EARTHQUAKE / FLOOD/ CYCLONE ) N.D.M.A ( Control Room ),022-22027990
 ,
Hospitals ,
GB HOSPITAL,0381-235 5888 | 2356757 | 2353112
IGM HOSPITAL,0381-232 5606 | 2325605| 2323332
DR. B R AMBEDKAR HOSPITAL,223 0505 | 2370504 2370316 (E)
AGARTALA NURSING HOME,230 9665
LIFELINE NURSING HOME,232 3829 
CARE & CURE,222 3381
SANJIBANI NURSING HOME,222 7860
TROPICAL NURSING HOME,231 0026
CANCER HOSPITAL,0381 - 2351068
ILS HOSPITAL,0381- 2415000 | 8974050300
DISTRICT HOSPITAL GOMATI,9436457937
