 Name , Number
Police,100
Fire Brigade,101
Ambulance,102
Medical Helpline,9830079999
Senior Citizen Helpline,9830088884
Child Helpline,1098
Women Helpline,1091
TRAFFIC Helpline,1073
 , 
POLICE, 
Lalbazar Police Station,033-22143230/3024
Jadavpur Police Station,9433918327
West Bengal Control Room,033-22215486| 22215415
Traffic Control Room,033-22143644/5000
Police Commisioner Office,033-22256060
Airport Police Station,033-25118292
Aliupore Police Station,033-24791021 | 24080100
Gariahat Police Station,033-24863702 | 24863703
Burrabazar Police Station,033-22687554 | 22683802
Park Street Police Station,033-22268321 | 22832100
 , 
BLOOD BANK, 
Central Blood Bank,23510619
Hemophilia Society Blood Bank,24163739
Life Care Medical Services,22444940
Bhoruka Blood Bank,22449619
 , 
FIRE STATION,101
HEAD OFFICE,033-22440101033-22440163/0170/6164
BEHALA,24672085
BAISNABGHATA,24360685
CENTRAL AVENUE / COSSIPORE,2241 4545| 2241 4546
DUMDUM,2551 4309
KALIGHAT,22440101
SALT LAKE,23575293
TOLLYGUNGE,24115393
 , 
EMERGENCY AMBULANCE,102
HEALTHCARE,24150600
RELIEF MEDICAL SERVICES,24754169
LIFECARE MEDICAL SERVICES,24754628
DHANWANTRY,24495594
 , 
OTHER NUMBERS, 
Chief Minister of West Bengal ,Office: 22145555| 22145588m@wb.gov.in
Kolkata Municiapal Corporation,1600333375
GAS LEAKAGE,North/ Central: 2241 5363/5787/5579South: 2411 8718/3792
Kolkata Electricity Department,2237 3161-64
Water Department,2237 3161|22373162
General Post Office (G.P.O),22201451|22105899
Passport Office,22554893|22554762|22254084
Dead animals Removal,22445112
 , 
Kolkata Hospitals, 
Medical College  KOLKATA https://www.medicalcollegekolkata.in/,EMERGENCY : 033-22551612
SSKM Hospital,22236026|22236242
Calcutta Medical Research Institute http://cmri.in/,033-30903090 | 30903367
Wellesley Clinic,22174991
Medicare Clinic,26381778| 26389237
B.M BIRLA HEART CENTRE  https://www.birlaheart.org/,EMERGENCY : 033-30403090 ENQUIRY : 033-30403040
Woodland Hospitals https://www.woodlandshospital.in/,HELPLINE : 7604075551-55 OPD : 033-4033 7032 / 33
BELLE VUE CLINIC http://www.bellevueclinic.com/,EMERGENCY : +91-9163058000 GENERAL : 033-22872321/6925
Kothari Medical Centre,24792561|24567050
AMRI HOSPITAL https://www.amrihospitals.in/,033-66800000
 BLOOD BANKS AND HOSPITALS Arambag Hospital : Tel: 953211-255962Apollo Gleneagles Hospitals.Tel: 23595211/15Ashok Blood Bank (Round The Clock).Tel: 24720333/148250Assembly of God Church Hosp.Tel: 22294886/6270Assembly of God Hospital.Tel: 22496572/294045Bankura Medical College Hosp.Tel: 9532242-251161-62Bardhaman Medical College Hosp.Tel: 95342-256315Bhoruka Public Welfare Trust (Round The Clock).Tel: 22174019/22448092Calcutta Blood Bank.Tel: 24763552Central Blood Bank & Inst.of B.T.M.H.H (W.B).Tel: 23510619/0620CMRI.Tel: 24567700/7101Coochbehar M.J.N.Hosp.Tel: 953582-231049Eastern Laboratory.Tel: 23529616Emergency Doctors Service.Tel: 24226770Homophilia Society.Tel: 24263739Howrah General Hosp.Tel: 26604738-39Inst. of Blood Transfusion Med. & Immu.Tel: 23510619-20Life Care Medical Services (Round The Clock).Tel: 22846940/45700.Tel: 22468127/24754628Lions Districts 322 B Blood Bank (8AM-8PM).Tel: 22485778/5780Malda Sadar Hospital.Tel: 953512-25947Marwari Relief Society.Tel: 22595675Medical College Hospital.Tel: 22414901Midnapore Sadar Hospital.Tel: 953222-261007National Medical College Hpsp.Tel: 22440122-23NRS Medical Hospital.Tel: 22443213-16Peerless Hospital & B.K. Roy Research Centre.Tel: 24622394/2462/0071/72/73People's Blood Bank (Round The Clock).Tel: 24555557/5164R.G. Kar Medical College Hosp.Tel: 25557676/8838R.K.M. Seva Pratisthan (Shishu Mangal).Tel: 24753636/3639Shri Chavo Dadi Charitable Trust.Tel: 25210757.Mob: 9831011001Specialist Corner.Tel: 26659511SSKM Hospital (PG) .Tel: 22236242Dhakuria Club Samanway Samiti 24154934Hazra Medical Stores 24495794Jadavpur Byabassayi Samity 28670132Central Blood Bank 23510619 / 23510620Calcutta Medical Research Institute 24567700Kothari Medical Centre 24567050 - 59Peerless Hospital 24622394Apollo Gleangles Hospital 23202122Workhardt hospital 24633318 - 20R N Tagore Inst. of Cardiac Science 24364000Mallaya Hospital 22277979/22277997Manipal Hospital 25266441/25266447St. John's Hosptial 25521798Baptist Hospital 23914807Republic Hospital 22213310/22215761,033-66800000
  IMPORTANT WEBSITE  1. KOLKATA POLICE : http://www.kolkatapolice.gov.in  OTHER IMPORTANT NUMBERS 1. ANIMAL AMBULANCE ( HAPPY HEARTS NGO ) : 6289770078  9836162918  FOR SALT LAKE  NEW TOWN AND NEARBY AREAS ONLY 2. NEW TOWN KOLKATA DEVELOPMENT AUTHORITY : 1800-103-7652,033-66800000
